Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
450,Justyn Ross,KAN,WR,24,10,1,0,0,0,0,0,0,0,,0,11,6,53,8.83,0,0,0,0,,,5,11.3,11.3,8.3,,178,,2023
451,Brett Rypien,LAR,QB,27,2,1,18,38,172,0,1,3,19,6.33,0,0,0,0,,0,2,1,0,,,5,4.8,6.8,5.8,,68,,2023
452,Mike Strachan,CAR,WR,26,4,1,0,0,0,0,0,0,0,,0,3,1,45,45,0,0,0,0,,,5,5.5,5.5,5,,180,,2023
453,Michael Burton,DEN,FB,31,17,3,0,0,0,0,0,7,9,1.29,0,3,3,8,2.67,0,0,0,0,1,,4,6.7,6.7,5.2,,118,,2023
454,Grant Calcaterra,PHI,TE,25,15,1,0,0,0,0,0,0,0,,0,4,4,39,9.75,0,0,0,0,,,4,7.9,7.9,5.9,,91,,2023
455,Elijah Cooks,JAX,WR,25,9,0,0,0,0,0,0,0,0,,0,4,3,38,12.67,0,0,0,0,,,4,6.8,6.8,5.3,,182,,2023
456,Britain Covey,PHI,WR,26,16,0,0,0,0,0,0,0,0,,0,6,4,42,10.5,0,2,0,0,,,4,8.2,8.2,6.2,,181,,2023
457,Leonard Fournette,BUF,RB,28,2,0,0,0,0,0,0,12,40,3.33,0,0,0,0,,0,0,0,0,,,4,4,4,4,,116,,2023
458,Peyton Hendershot,DAL,TE,24,8,1,0,0,0,0,0,1,0,0,0,7,4,38,9.5,0,0,0,0,,,4,7.8,7.8,5.8,,92,,2023
459,Rashaad Penny,PHI,RB,27,3,0,0,0,0,0,0,11,33,3,0,1,1,5,5,0,0,0,0,,,4,4.8,4.8,4.3,,117,,2023
460,Jack Stoll,PHI,TE,25,17,10,0,0,0,0,0,0,0,,0,8,5,38,7.6,0,0,0,0,,,4,8.8,8.8,6.3,,93,,2023
461,Ke'Shawn Vaughn,TAM,RB,26,6,0,0,0,0,0,0,24,42,1.75,0,5,2,2,1,0,0,0,0,,,4,6.4,6.4,5.4,,115,,2023
462,Khari Blasingame,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0,,,3,5.8,5.8,4.3,,122,,2023
463,Keelan Doss,LAC,WR,27,5,0,0,0,0,0,0,0,0,,0,13,6,33,5.5,0,0,0,0,,,3,9.3,9.3,6.3,,183,,2023
464,Greg Dulcich,DEN,TE,23,2,1,0,0,0,0,0,0,0,,0,4,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4,,99,,2023
465,Devin Duvernay,BAL,WR,26,13,1,0,0,0,0,0,4,15,3.75,0,9,4,18,4.5,0,0,0,0,,,3,7.3,7.3,5.3,,184,,2023
466,Derrick Gore,WAS,RB,29,6,0,0,0,0,0,0,3,26,8.67,0,0,0,0,,0,0,0,0,,,3,2.6,2.6,2.6,,123,,2023
467,C.J. Ham*,MIN,FB,30,17,5,0,0,0,0,0,1,7,7,0,9,7,25,3.57,0,0,0,0,,,3,10.2,10.2,6.7,,120,,2023
468,Julian Hill,MIA,TE,23,15,4,0,0,0,0,0,0,0,,0,9,6,48,8,0,1,1,0,,,3,8.8,9.8,5.8,,96,,2023
469,Trishton Jackson,MIN,WR,25,7,0,0,0,0,0,0,0,0,,0,4,2,9,4.5,0,0,0,0,1,,3,4.9,4.9,3.9,,185,,2023
470,James Mitchell,DET,TE,24,15,1,0,0,0,0,0,0,0,,0,2,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,97,,2023
471,Jalen Nailor,MIN,WR,24,6,1,0,0,0,0,0,0,0,,0,6,3,29,9.67,0,0,0,0,,,3,5.9,5.9,4.4,,186,,2023
472,Teagan Quitoriano,HOU,TE,23,7,5,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0,,,3,5.3,5.3,4.3,,94,,2023
473,Cooper Rush,DAL,QB,30,7,0,18,24,144,0,1,12,-5,-0.42,0,0,0,0,,0,0,0,0,,,3,3.3,4.3,4.3,,69,,2023
474,Steven Sims,HOU,WR,26,3,0,0,0,0,0,0,1,1,1,0,3,3,25,8.33,0,0,0,0,,,3,5.6,5.6,4.1,,187,,2023
475,Keith Smith,ATL,FB,31,13,6,0,0,0,0,0,0,0,,0,3,3,33,11,0,0,0,0,,,3,6.3,6.3,4.8,,119,,2023
476,Sean Tucker,TAM,RB,22,11,0,0,0,0,0,0,15,23,1.53,0,2,2,9,4.5,0,0,0,0,,,3,5.2,5.2,4.2,,121,,2023
477,Malik Willis,TEN,QB,24,3,0,4,5,74,0,0,5,21,4.2,0,0,0,0,,0,1,1,0,,,3,3.1,4.1,3.1,,70,,2023
478,Charlie Woerner,SFO,TE,26,17,2,0,0,0,0,0,0,0,,0,3,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,95,,2023
479,Kenny Yeboah,NYJ,TE,25,5,1,0,0,0,0,0,0,0,,0,4,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,98,,2023
480,Nate Adkins,DEN,TE,24,10,1,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0,,,2,6.2,6.2,4.2,,100,,2023
481,Kayshon Boutte,NWE,WR,21,5,0,0,0,0,0,0,0,0,,0,7,2,19,9.5,0,0,0,0,,,2,3.9,3.9,2.9,,190,,2023
482,Miles Boykin,PIT,WR,27,17,0,0,0,0,0,0,0,0,,0,4,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,192,,2023
483,DeeJay Dallas,SEA,RB,25,17,0,0,0,0,0,0,10,36,3.6,0,9,6,26,4.33,0,2,2,0,,,2,8.2,10.2,5.2,,124,,2023
484,Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.5,0,0,0,0,,0,0,0,0,,,2,2.1,2.1,2.1,,126,,2023
485,Elijah Dotson,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.5,0,2,2,13,6.5,0,0,0,0,,,2,3.9,3.9,2.9,,128,,2023
486,Zach Evans,LAR,RB,22,10,0,0,0,0,0,0,9,19,2.11,0,0,0,0,,0,0,0,0,,,2,1.9,1.9,1.9,,129,,2023
487,Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.4,0,1,0,0,,0,0,0,0,,,2,2.2,2.2,2.2,,188,,2023
488,Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5,0,1,1,12,12,0,0,0,0,,,2,3.2,3.2,2.7,,125,,2023
489,Jaren Hall,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,0,,0,2,2,0,,,2,2.1,5.1,3.1,,71,,2023
490,Marvin Jones,DET,WR,33,6,4,0,0,0,0,0,0,0,,0,10,5,35,7,0,1,1,0,,,2,6.5,7.5,4,,194,,2023
491,Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8,0,0,0,0,,,2,3.1,3.1,2.6,,127,,2023
492,Chris Manhertz,DEN,TE,31,16,4,0,0,0,0,0,0,0,,0,4,2,16,8,0,0,0,0,,,2,3.6,3.6,2.6,,103,,2023
493,Nick Muse,MIN,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,22,22,0,0,0,0,,,2,3.2,3.2,2.7,,101,,2023
494,Gunner Olszewski,2TM,WR,27,12,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,2,1,,,2,3,5,2.5,,189,,2023
495,Zach Pascal,ARI,WR,29,14,1,0,0,0,0,0,0,0,,0,15,4,19,4.75,0,0,0,0,,,2,5.9,5.9,3.9,,191,,2023
496,Laquon Treadwell,BAL,WR,28,5,1,0,0,0,0,0,0,0,,0,3,1,16,16,0,0,0,0,,,2,2.6,2.6,2.1,,193,,2023
497,Trevon Wesco,TEN,TE,28,15,10,0,0,0,0,0,0,0,,0,3,1,21,21,0,0,0,0,,,2,3.1,3.1,2.6,,102,,2023
498,Mike White,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,0,,0,1,1,0,,,2,2.1,4.1,3.1,,72,,2023
499,Alex Armah,WAS,RB,29,8,0,0,0,0,0,0,0,0,,0,3,3,13,4.33,0,0,0,0,,,1,4.3,4.3,2.8,,130,,2023
500,Sean Clifford,GNB,QB,25,2,0,1,1,37,0,0,3,-2,-0.67,0,0,0,0,,0,1,0,0,,,1,1.3,1.3,1.3,,73,,2023
501,Jashaun Corbin,NYG,RB,23,6,0,0,0,0,0,0,1,1,1,0,3,3,12,4,0,0,0,0,,,1,4.3,4.3,2.8,,131,,2023
502,Kenyan Drake,2TM,RB,29,3,0,0,0,0,0,0,2,0,0,0,3,2,31,15.5,0,1,1,0,,,1,3.1,4.1,2.1,,135,,2023
503,Ross Dwelley,SFO,TE,28,12,0,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,104,,2023
504,D'Wayne Eskridge,SEA,WR,26,4,0,0,0,0,0,0,2,5,2.5,0,1,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,201,,2023
505,Chris Evans,CIN,RB,26,8,0,0,0,0,0,0,2,12,6,0,1,1,-1,-1,0,0,0,0,,,1,2.1,2.1,1.6,,136,,2023
506,Tucker Fisk,ATL,TE,24,6,2,0,0,0,0,0,0,0,,0,1,1,9,9,0,0,0,0,,,1,1.9,1.9,1.4,,107,,2023
507,John FitzPatrick,ATL,TE,23,9,0,0,0,0,0,0,0,0,,0,1,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,105,,2023
508,Cole Fotheringham,LVR,TE,26,2,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,108,,2023
509,Evan Hull,IND,RB,23,1,0,0,0,0,0,0,1,1,1,0,1,1,6,6,0,0,0,0,,,1,1.7,1.7,1.2,,139,,2023
510,Collin Johnson,CHI,WR,26,3,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0,,,1,2.1,2.1,1.6,,197,,2023
511,Jakob Johnson,LVR,FB,29,13,5,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2,2.2,1.7,,134,,2023
512,Mason Kinsey,TEN,WR,25,6,0,0,0,0,0,0,0,0,,0,1,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,200,,2023
513,A.J. McCarron,CIN,QB,33,2,0,4,5,19,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,74,,2023
514,Anthony McFarland Jr.,PIT,RB,25,3,0,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,,,1,3.1,3.1,2.1,,137,,2023
515,Kene Nwangwu,MIN,RB,25,9,0,0,0,0,0,0,5,13,2.6,0,0,0,0,,0,0,0,0,,,1,1.3,1.3,1.3,,132,,2023
516,Devine Ozigbo,DET,RB,27,3,0,0,0,0,0,0,3,5,1.67,0,1,1,8,8,0,0,0,0,,,1,2.3,2.3,1.8,,133,,2023
517,Kevin Rader,TEN,TE,28,14,0,0,0,0,0,0,0,0,,0,3,1,6,6,0,0,0,0,,,1,1.6,1.6,1.1,,109,,2023
518,Eric Saubert,2TM,TE,29,10,1,0,0,0,0,0,0,0,,0,3,3,12,4,0,0,0,0,,,1,4.2,4.2,2.7,,106,,2023
519,Willie Snead,SFO,WR,31,4,0,0,0,0,0,0,0,0,,0,3,2,14,7,0,0,0,0,,,1,3.4,3.4,2.4,,195,,2023
520,Malik Taylor,NYJ,WR,28,3,0,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,0,0,0,,,1,3.3,3.3,2.3,,196,,2023
521,Cody Thompson,SEA,WR,27,7,0,0,0,0,0,0,0,0,,0,1,1,10,10,0,0,0,0,,,1,2,2,1.5,,198,,2023
522,Austin Trammell,LAR,WR,25,16,0,0,0,0,0,0,0,0,,0,7,4,29,7.25,0,3,1,0,,,1,4.9,5.9,2.9,,199,,2023
523,Jonathan Ward,TEN,RB,26,7,0,0,0,0,0,0,3,11,3.67,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,138,,2023
524,Devon Allen,PHI,WR,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,205,,2023
525,Stephen Anderson,LAC,TE,30,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,112,,2023
526,Andre Baccellia,ARI,WR,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,206,,2023
527,Michael Bandy,DEN,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,207,,2023
528,Matt Barkley,JAX,QB,33,1,0,0,0,0,0,0,3,-3,-1,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,80,,2023
529,Nick Bellore*,SEA,FB,34,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,143,,2023
530,Chris Blair,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,208,,2023
531,Teddy Bridgewater,DET,QB,31,1,0,0,0,0,0,0,2,-2,-1,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,79,,2023
532,Matt Bushman,KAN,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,113,,2023
533,Terrell Bynum,LAC,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,209,,2023
534,Damiere Byrd,ATL,WR,30,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,210,,2023
535,Jason Cabinda,DET,FB,27,4,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,,144,,2023
536,Marquez Callaway,NOR,WR,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,211,,2023
537,Stephen Carlson,CHI,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,,2023
538,Irvin Charles,NYJ,WR,26,12,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,212,,2023
539,Julius Chestnut,TEN,RB,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,145,,2023
540,Dan Chisena,2TM,WR,26,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,213,,2023
541,Corey Clement,ARI,RB,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,146,,2023
542,Tanner Conner,MIA,TE,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,,2023
543,Malik Cunningham,2TM,QB,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,,2023
544,Darrell Daniels,DET,TE,29,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,,2023
545,Frank Darby,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,214,,2023
546,Jaelon Darden,CLE,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,215,,2023
547,Malik Davis,DAL,RB,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,147,,2023
548,Phillip Dorsett,DEN,WR,30,2,1,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,216,,2023
549,Colton Dowell,TEN,WR,24,10,1,0,0,0,0,0,0,0,,0,2,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,202,,2023
550,Dylan Drummond,DET,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,217,,2023
551,Sam Ehlinger,IND,QB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,75,,2023
552,Princeton Fant,DAL,TE,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,,2023
553,Ethan Fernea,IND,WR,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,218,,2023
554,Anthony Firkser,DET,TE,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,118,,2023
555,Dez Fitzpatrick,PIT,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,219,,2023
556,Myles Gaskin,2TM,RB,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,148,,2023
557,Zach Gentry,LVR,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,119,,2023
558,Reggie Gilliam,BUF,FB,26,17,0,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,141,,2023
559,Antoine Green,DET,WR,24,9,0,0,0,0,0,0,0,0,,0,2,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,203,,2023
560,Jacob Harris,JAX,WR,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,220,,2023
561,N'Keal Harry,MIN,WR,26,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,221,,2023
562,Jamycal Hasty,2TM,RB,27,5,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,149,,2023
563,Parker Hesse,ATL,TE,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,,2023
564,J.P. Holtz,NOR,TE,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,,2023
565,Travis Homer,CHI,RB,25,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,150,,2023
566,Jesper Horsted,LVR,TE,26,13,0,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,110,,2023
567,Mohamed Ibrahim,DET,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,151,,2023
568,Godwin Igwebuike,2TM,RB,29,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,152,,2023
569,Andy Isabella,BUF,WR,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,222,,2023
570,Kearis Jackson,TEN,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,223,,2023
571,Lucky Jackson,MIN,WR,32,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,224,,2023
572,Shedrick Jackson,CIN,WR,24,5,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,225,,2023
573,Tyree Jackson,NYG,TE,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,2023
574,Johnny Johnson,HOU,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,226,,2023
575,Hunter Kampmoyer,LAC,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,2023
576,Dalton Keene,HOU,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,2023
577,Tyler Kroft,MIA,TE,31,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,2023
578,Zack Kuntz,NYJ,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,,2023
579,Kwamie Lassiter II,CIN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,204,,2023
580,Hunter Long,LAR,TE,25,4,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,2023
581,Tay Martin,SFO,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,227,,2023
582,Ben Mason,BAL,FB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,153,,2023
583,Jordan Matthews,CAR,TE,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,2023
584,Kenny McIntosh,SEA,RB,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,154,,2023
585,Sean McKeon,DAL,TE,26,9,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,129,,2023
586,Tre' McKitty,LAC,TE,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,2023
587,Jeremy McNichols,SFO,RB,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,155,,2023
588,Kirk Merritt,NOR,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,228,,2023
589,Ryan Miller,TAM,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,229,,2023
590,Jordan Mims,NOR,RB,24,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,156,,2023
591,Stanley Morgan Jr.,CIN,WR,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,230,,2023
592,Albert Okwuegbunam,PHI,TE,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,131,,2023
593,Qadree Ollison,PIT,RB,27,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,157,,2023
594,Henry Pearson,GNB,FB,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,158,,2023
595,Josh Pederson,JAX,TE,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,2023
596,Nathan Peterman,CHI,QB,29,2,0,0,0,0,0,0,2,-4,-2,0,0,0,0,,0,1,0,0,,,,-0.4,-0.4,-0.4,,82,,2023
597,Adam Prentice,NOR,FB,26,13,1,0,0,0,0,0,2,12,6,0,3,2,12,6,0,1,1,0,,,,2.4,3.4,1.4,,140,,2023
598,Deneric Prince,KAN,RB,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,159,,2023
599,Giovanni Ricci,CAR,FB,27,5,0,0,0,0,0,0,0,0,,0,1,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,142,,2023
600,James Robinson,GNB,RB,25,1,0,0,0,0,0,0,1,2,2,0,1,1,-2,-2,0,0,0,0,,,,1,1,0.5,,160,,2023
601,Aaron Rodgers,NYJ,QB,40,1,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,,2023
602,Amari Rodgers,IND,WR,24,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,231,,2023
603,Brady Russell,SEA,TE,25,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,,2023
604,David Sills,DEN,WR,27,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,232,,2023
605,Matthew Slater,NWE,WR,38,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,233,,2023
606,Tre'Quan Smith,DEN,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,234,,2023
607,Matt Sokol,NWE,TE,28,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,2023
608,SaRodorick Thompson,SEA,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,161,,2023
609,Mitchell Tinsley,WAS,WR,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,235,,2023
610,Noah Togiai,PHI,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,2023
611,Kyle Trask,TAM,QB,25,2,0,0,1,0,0,0,1,-1,-1,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,78,,2023
612,DJ Turner,LVR,WR,26,10,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,236,,2023
613,Xazavian Valladay,NYJ,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,162,,2023
614,Nick Vannett,LAC,TE,30,8,5,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3,1.3,0.8,,111,,2023
615,Travis Vokolek,ARI,TE,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,2023
616,Dwayne Washington,DEN,RB,29,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,163,,2023
617,Montrell Washington,KAN,WR,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,0,0,,,,,,,,237,,2023
618,Blake Whiteheart,ARI,TE,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,137,,2023
619,Kristian Wilkerson,LVR,WR,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,238,,2023
620,Brayden Willis,SFO,TE,24,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,,2023
621,Jonathan Williams,WAS,RB,29,1,0,0,0,0,0,0,1,-2,-2,0,1,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,165,,2023
622,Rodney Williams,PIT,TE,25,13,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,139,,2023
623,Juwann Winfree,IND,WR,27,8,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,239,,2023
624,Easop Winston,SEA,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,240,,2023
625,Logan Woodside,ATL,QB,28,1,0,3,4,27,0,1,1,6,6,0,0,0,0,,0,0,0,0,,,,-0.3,0.7,0.7,,81,,2023
626,Owen Wright,BAL,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,164,,2023
627,Dareke Young,SEA,WR,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,241,,2023
628,Kyle Allen,BUF,QB,27,7,0,0,0,0,0,0,13,-13,-1,0,0,0,0,,0,0,0,0,,,-1,-1.3,-1.3,-1.3,,83,,2023
629,Deon Jackson,3TM,RB,24,4,1,0,0,0,0,0,14,16,1.14,0,6,5,14,2.8,0,2,2,0,,,-1,4,6,1.5,,166,,2023
630,David Wells,TAM,TE,28,5,0,0,0,0,0,0,0,0,,0,2,2,-10,-5,0,1,0,0,,,-1,1,1,,,140,,2023
631,James Proche,CLE,WR,27,10,1,0,0,0,0,0,0,0,,0,5,0,0,,0,1,1,0,,,-2,-2,-1,-2,,242,,2023
632,Trent Taylor,CHI,WR,29,17,0,0,0,0,0,0,1,-2,-2,0,2,0,0,,0,2,1,0,,,-2,-2.2,-1.2,-2.2,,243,,2023