Team,WinP,Year
ARI,0.5,2017
ATL,0.625,2017
BAL,0.563,2017
BUF,0.563,2017
CAR,0.688,2017
CHI,0.313,2017
CIN,0.438,2017
CLE,0,2017
DAL,0.563,2017
DEN,0.313,2017
DET,0.563,2017
GB,0.438,2017
HOU,0.25,2017
IND,0.25,2017
JAX,0.625,2017
KC,0.625,2017
LAC,0.563,2017
LAR,0.688,2017
LV,0.375,2017
MIA,0.375,2017
MIN,0.813,2017
NE,0.813,2017
NO,0.688,2017
NYG,0.188,2017
NYJ,0.313,2017
PHI,0.813,2017
PIT,0.813,2017
SF,0.375,2017
SEA,0.563,2017
TB,0.313,2017
TEN,0.563,2017
WSH,0.438,2017
ARI,0.188,2018
ATL,0.438,2018
BAL,0.625,2018
BUF,0.375,2018
CAR,0.438,2018
CHI,0.75,2018
CIN,0.375,2018
CLE,0.469,2018
DAL,0.625,2018
DEN,0.375,2018
DET,0.375,2018
GB,0.406,2018
HOU,0.688,2018
IND,0.625,2018
JAX,0.313,2018
KC,0.75,2018
LAC,0.75,2018
LAR,0.813,2018
LV,0.25,2018
MIA,0.438,2018
MIN,0.531,2018
NE,0.688,2018
NO,0.813,2018
NYG,0.313,2018
NYJ,0.25,2018
PHI,0.563,2018
PIT,0.594,2018
SF,0.25,2018
SEA,0.625,2018
TB,0.313,2018
TEN,0.563,2018
WSH,0.438,2018
ARI,0.344,2019
ATL,0.438,2019
BAL,0.875,2019
BUF,0.625,2019
CAR,0.313,2019
CHI,0.5,2019
CIN,0.125,2019
CLE,0.375,2019
DAL,0.5,2019
DEN,0.438,2019
DET,0.219,2019
GB,0.813,2019
HOU,0.625,2019
IND,0.438,2019
JAX,0.375,2019
KC,0.75,2019
LAC,0.313,2019
LAR,0.563,2019
LV,0.438,2019
MIA,0.313,2019
MIN,0.625,2019
NE,0.75,2019
NO,0.813,2019
NYG,0.25,2019
NYJ,0.438,2019
PHI,0.563,2019
PIT,0.5,2019
SF,0.813,2019
SEA,0.688,2019
TB,0.438,2019
TEN,0.563,2019
WSH,0.188,2019
ARI,0.5,2020
ATL,0.25,2020
BAL,0.688,2020
BUF,0.813,2020
CAR,0.313,2020
CHI,0.5,2020
CIN,0.281,2020
CLE,0.688,2020
DAL,0.375,2020
DEN,0.313,2020
DET,0.313,2020
GB,0.813,2020
HOU,0.25,2020
IND,0.688,2020
JAX,0.063,2020
KC,0.875,2020
LAC,0.438,2020
LAR,0.625,2020
LV,0.5,2020
MIA,0.625,2020
MIN,0.438,2020
NE,0.438,2020
NO,0.75,2020
NYG,0.375,2020
NYJ,0.125,2020
PHI,0.281,2020
PIT,0.75,2020
SF,0.375,2020
SEA,0.75,2020
TB,0.688,2020
TEN,0.688,2020
WSH,0.438,2020
ARI,0.647,2021
ATL,0.412,2021
BAL,0.471,2021
BUF,0.647,2021
CAR,0.294,2021
CHI,0.353,2021
CIN,0.588,2021
CLE,0.471,2021
DAL,0.706,2021
DEN,0.412,2021
DET,0.206,2021
GB,0.765,2021
HOU,0.235,2021
IND,0.529,2021
JAX,0.176,2021
KC,0.706,2021
LAC,0.529,2021
LAR,0.706,2021
LV,0.588,2021
MIA,0.529,2021
MIN,0.471,2021
NE,0.588,2021
NO,0.529,2021
NYG,0.235,2021
NYJ,0.235,2021
PHI,0.529,2021
PIT,0.559,2021
SF,0.588,2021
SEA,0.412,2021
TB,0.765,2021
TEN,0.706,2021
WSH,0.412,2021
ARI,0.235,2022
ATL,0.412,2022
BAL,0.588,2022
BUF,0.813,2022
CAR,0.125,2022
CHI,0.176,2022
CIN,0.75,2022
CLE,0.412,2022
DAL,0.706,2022
DEN,0.294,2022
DET,0.529,2022
GB,0.471,2022
HOU,0.206,2022
IND,0.265,2022
JAX,0.529,2022
KC,0.824,2022
LAC,0.588,2022
LAR,0.294,2022
LV,0.353,2022
MIA,0.529,2022
MIN,0.765,2022
NE,0.471,2022
NO,0.412,2022
NYG,0.559,2022
NYJ,0.412,2022
PHI,0.824,2022
PIT,0.529,2022
SF,0.765,2022
SEA,0.529,2022
TB,0.471,2022
TEN,0.412,2022
WSH,0.5,2022
ARI,0.25,2023
ATL,0.438,2023
BAL,0.813,2023
BUF,0.625,2023
CAR,0.412,2023
CHI,0.438,2023
CIN,0.5,2023
CLE,0.688,2023
DAL,0.688,2023
DEN,0.5,2023
DET,0.688,2023
GB,0.5,2023
HOU,0.563,2023
IND,0.563,2023
JAX,0.563,2023
KC,0.625,2023
LAC,0.588,2023
LAR,0.563,2023
LV,0.438,2023
MIA,0.688,2023
MIN,0.438,2023
NE,0.25,2023
NO,0.5,2023
NYG,0.313,2023
NYJ,0.375,2023
PHI,0.688,2023
PIT,0.563,2023
SF,0.75,2023
SEA,0.5,2023
TB,0.5,2023
TEN,0.313,2023
WSH,0.25,2023