Tm,W-L%,PF,SRS,OSRS,Year
Buffalo Bills*,0.647,483,9.8,5,2021
New England Patriots+,0.588,462,8.5,3.6,2021
Miami Dolphins,0.529,341,-2.7,-3.1,2021
New York Jets,0.235,310,-10.4,-3.6,2021
Cincinnati Bengals*,0.588,460,3.1,3.4,2021
Pittsburgh Steelers+,0.559,343,-2.5,-2.6,2021
Cleveland Browns,0.471,349,-1.3,-2.7,2021
Baltimore Ravens,0.471,387,-0.3,-0.3,2021
Tennessee Titans*,0.706,419,3.4,1.8,2021
Indianapolis Colts,0.529,451,4.4,3.3,2021
Houston Texans,0.235,280,-9.7,-6.3,2021
Jacksonville Jaguars,0.176,253,-11.4,-7.7,2021
Kansas City Chiefs*,0.706,480,7.4,5.4,2021
Las Vegas Raiders+,0.588,374,-3.3,-0.7,2021
Los Angeles Chargers,0.529,474,1.1,5.3,2021
Denver Broncos,0.412,335,-0.5,-4.7,2021
Dallas Cowboys*,0.706,530,9.9,8.2,2021
Philadelphia Eagles+,0.529,444,2.5,2.6,2021
Washington Commanders,0.412,335,-4.2,-2.7,2021
New York Giants,0.235,258,-8.3,-7.7,2021
Green Bay Packers*,0.765,450,4.4,3.5,2021
Minnesota Vikings,0.471,425,0.3,1.9,2021
Chicago Bears,0.353,311,-5.2,-4.9,2021
Detroit Lions,0.206,325,-7.8,-3.5,2021
Tampa Bay Buccaneers*,0.765,511,8.6,7.3,2021
New Orleans Saints,0.529,364,2,-1.5,2021
Atlanta Falcons,0.412,313,-8.5,-4.2,2021
Carolina Panthers,0.294,304,-5.5,-5,2021
Los Angeles Rams*,0.706,460,5.3,4.2,2021
Arizona Cardinals+,0.647,449,5.2,3.6,2021
San Francisco 49ers+,0.588,427,3.8,1.8,2021
Seattle Seahawks,0.412,395,1.9,0.4,2021
Buffalo Bills*,0.813,455,10.9,7.1,2022
Miami Dolphins+,0.529,397,1.8,2.7,2022
New England Patriots,0.471,364,2,-0.3,2022
New York Jets,0.412,296,0.8,-4,2022
Cincinnati Bengals*,0.75,418,6.9,5.5,2022
Baltimore Ravens+,0.588,350,3.1,-0.2,2022
Pittsburgh Steelers,0.529,308,-0.8,-3,2022
Cleveland Browns,0.412,361,-0.1,0.7,2022
Jacksonville Jaguars*,0.529,404,1.8,1.6,2022
Tennessee Titans,0.412,298,-3.6,-4.7,2022
Indianapolis Colts,0.265,289,-8.6,-4.9,2022
Houston Texans,0.206,289,-8.5,-5.4,2022
Kansas City Chiefs*,0.824,496,6.2,6.8,2022
Los Angeles Chargers+,0.588,391,-0.9,0.1,2022
Las Vegas Raiders,0.353,395,-2.5,1.2,2022
Denver Broncos,0.294,287,-5,-5.6,2022
Philadelphia Eagles*,0.824,477,6.5,5.8,2022
Dallas Cowboys+,0.706,467,6.5,5.3,2022
New York Giants+,0.559,365,-0.4,-0.8,2022
Washington Commanders,0.5,321,-0.9,-3.5,2022
Minnesota Vikings*,0.765,424,-0.1,2.8,2022
Detroit Lions,0.529,453,2.2,4.7,2022
Green Bay Packers,0.471,370,0.3,-0.3,2022
Chicago Bears,0.176,326,-6.4,-2.5,2022
Tampa Bay Buccaneers*,0.471,313,-2.3,-3.3,2022
Carolina Panthers,0.412,347,-2.2,-1.3,2022
New Orleans Saints,0.412,330,-1.2,-2.8,2022
Atlanta Falcons,0.412,365,-2.1,-0.1,2022
San Francisco 49ers*,0.765,450,7.9,3.3,2022
Seattle Seahawks+,0.529,407,-0.5,1.9,2022
Los Angeles Rams,0.294,307,-4,-4.1,2022
Arizona Cardinals,0.235,340,-6.2,-1.9,2022
Buffalo Bills*,0.647,451,6.5,4.1,2023
Miami Dolphins+,0.647,496,4.4,7.6,2023
New York Jets,0.412,268,-5.8,-6.7,2023
New England Patriots,0.235,236,-7.9,-8.5,2023
Baltimore Ravens*,0.765,483,13.2,6.7,2023
Cleveland Browns+,0.647,396,3.3,2.4,2023
Pittsburgh Steelers+,0.588,304,0.7,-3,2023
Cincinnati Bengals,0.529,366,1.7,1.3,2023
Houston Texans*,0.588,377,0.4,0.3,2023
Jacksonville Jaguars,0.529,377,1.4,1.3,2023
Indianapolis Colts,0.529,396,-1.3,2.4,2023
Tennessee Titans,0.353,305,-3.2,-4,2023
Kansas City Chiefs*,0.647,371,3.7,-0.6,2023
Las Vegas Raiders,0.471,332,-0.9,-2.4,2023
Denver Broncos,0.471,357,-3.8,-0.8,2023
Los Angeles Chargers,0.294,346,-2.2,-0.6,2023
Dallas Cowboys*,0.706,509,9.2,6.5,2023
Philadelphia Eagles+,0.647,433,-0.1,3.6,2023
New York Giants,0.353,266,-7.9,-6.9,2023
Washington Commanders,0.235,329,-11.1,-2.8,2023
Detroit Lions*,0.706,461,4.3,6,2023
Green Bay Packers+,0.529,383,1.2,0.9,2023
Minnesota Vikings,0.412,344,-0.6,-1.6,2023
Chicago Bears,0.412,360,-2,-1.2,2023
Tampa Bay Buccaneers*,0.529,348,1.1,-1.6,2023
New Orleans Saints,0.529,402,2.2,1.7,2023
Atlanta Falcons,0.412,321,-5,-3.6,2023
Carolina Panthers,0.118,236,-9.9,-7.9,2023
San Francisco 49ers*,0.706,491,11.8,7.1,2023
Los Angeles Rams+,0.588,404,3,2,2023
Seattle Seahawks,0.529,364,-1,-0.2,2023
Arizona Cardinals,0.235,330,-5.4,-1.8,2023